trade_date,entry_time,expiry,method,ce_strike,pe_strike,ce_entry,pe_entry,ce_exit,pe_exit,ce_exit_reason,pe_exit_reason,gross_pnl_rupees,costs_rupees,net_pnl_rupees,max_intraday_drawdown_rupees,combined_exit_reason
2026-01-22,2026-01-22 09:20:00+05:30,2026-03-02,delta_target,27000.0,25200.0,42.3,286.1,40.0,360.55,COMBINED_SL,COMBINED_SL,-3607.4999999999995,100.0,-3707.4999999999995,-3607.4999999999995,COMBINED_SL
2026-01-23,2026-01-23 09:20:00+05:30,2026-03-02,delta_target,27000.0,25200.0,41.0,309.6,36.5,360.0,COMBINED_SL,COMBINED_SL,-2294.999999999999,100.0,-2394.999999999999,-2294.999999999999,COMBINED_SL
2026-01-27,2026-01-27 09:20:00+05:30,2026-03-02,delta_target,25050.0,25000.0,525.95,391.7,525.95,305.0,COMBINED_TGT,COMBINED_TGT,4334.999999999999,100.0,4234.999999999999,0.0,COMBINED_TGT
2026-01-28,2026-01-28 09:20:00+05:30,2026-03-02,delta_target,25500.0,25500.0,406.7,399.0,380.85,389.0,COMBINED_TGT,COMBINED_TGT,1792.4999999999982,100.0,1692.4999999999982,-467.50000000000114,COMBINED_TGT
2026-01-29,2026-01-29 09:20:00+05:30,2026-03-02,delta_target,25350.0,25400.0,432.25,367.9,430.05,425.45,COMBINED_SL,COMBINED_SL,-2767.500000000001,100.0,-2867.500000000001,-2767.500000000001,COMBINED_SL
2026-01-30,2026-01-30 09:20:00+05:30,2026-03-02,delta_target,25350.0,25350.0,403.8,364.0,397.55,329.25,COMBINED_TGT,COMBINED_TGT,2050.0,100.0,1950.0,-1934.9999999999995,COMBINED_TGT
2026-02-01,2026-02-01 09:20:00+05:30,2026-03-02,delta_target,25350.0,25350.0,401.65,350.95,332.45,384.0,COMBINED_TGT,COMBINED_TGT,1807.4999999999989,100.0,1707.4999999999989,-1820.0000000000018,COMBINED_TGT
2026-02-02,2026-02-02 09:20:00+05:30,2026-03-02,delta_target,24950.0,25300.0,417.5,569.1,386.6,569.55,COMBINED_TGT,COMBINED_TGT,1522.5000000000023,100.0,1422.5000000000023,-1702.4999999999977,COMBINED_TGT
2026-02-03,2026-02-03 09:20:00+05:30,2026-03-02,delta_target,25850.0,26950.0,593.85,799.5,378.85,799.5,COMBINED_TGT,COMBINED_TGT,10750.0,100.0,10650.0,-302.4999999999977,COMBINED_TGT
2026-02-04,2026-02-04 09:20:00+05:30,2026-03-02,delta_target,25800.0,25800.0,345.0,292.9,313.2,292.0,COMBINED_TGT,COMBINED_TGT,1634.9999999999995,100.0,1534.9999999999995,-1027.5000000000005,COMBINED_TGT
2026-02-05,2026-02-05 09:20:00+05:30,2026-03-02,delta_target,25750.0,25750.0,321.8,276.9,293.35,288.4,EOD,EOD,847.4999999999994,100.0,747.4999999999994,-607.5000000000017,EOD
2026-02-06,2026-02-06 09:20:00+05:30,2026-03-02,delta_target,26000.0,25650.0,157.7,264.55,145.0,242.2,COMBINED_TGT,COMBINED_TGT,1752.5000000000005,100.0,1652.5000000000005,-487.5000000000001,COMBINED_TGT
