name,index,interval,underlying_data,options_data,lot_size,strike_step,strike_method,entry_time,exit_time,premium_target_per_leg,premium_band,fixed_distance_points,target_delta_ce,target_delta_pe,lots,per_leg_sl_pct,combined_mtm_sl_rupees,combined_mtm_target_rupees,slippage_per_order_rupees,charges_per_lot_roundtrip_rupees,output_name,save_trades,strategy,status,trades,net_pnl,gross_pnl,max_drawdown,win_rate,avg_pnl,profit_factor,report_path,score
nifty_strangle_v1,NIFTY,5minute,data/underlying_5m.csv,data/options_5m.csv,50,50,fixed_distance,09:20,15:20,60,20,500,0.2,-0.2,1,30,2000,1500,5,40,sweep_tradebook_00961.csv,False,nifty_strangle_v1,ok,25,17049.75,19549.75,-3872.5,64.0,681.99,3.6808836825346916,,5.042775984506132
nifty_strangle_v1,NIFTY,5minute,data/underlying_5m.csv,data/options_5m.csv,50,50,fixed_distance,09:20,15:20,60,20,300,0.2,-0.2,1,30,2000,1500,5,40,sweep_tradebook_01134.csv,False,nifty_strangle_v1,ok,25,20793.5,23293.5,-4726.75,64.0,831.74,3.4282961578885907,,5.03911144020733
nifty_strangle_v1,NIFTY,5minute,data/underlying_5m.csv,data/options_5m.csv,50,50,delta_target,09:20,15:20,60,20,300,0.15,-0.15,1,30,3000,2500,5,40,sweep_tradebook_01015.csv,False,nifty_strangle_v1,ok,25,28850.249999999993,31350.249999999993,-6971.0,76.0,1154.0099999999998,3.5270107517463374,,4.898609955530052
nifty_strangle_v1,NIFTY,5minute,data/underlying_5m.csv,data/options_5m.csv,50,50,delta_target,09:45,15:20,60,20,300,0.25,-0.25,1,40,4000,1500,5,40,sweep_tradebook_00998.csv,False,nifty_strangle_v1,ok,25,20276.500000000007,22776.500000000007,-4897.0,72.0,811.0600000000003,2.367769570643193,,4.860596283438841
nifty_strangle_v1,NIFTY,5minute,data/underlying_5m.csv,data/options_5m.csv,50,50,fixed_distance,09:20,15:20,60,20,500,0.2,-0.2,1,30,3000,2500,5,40,sweep_tradebook_01181.csv,False,nifty_strangle_v1,ok,25,16399.75,18899.75,-3872.5,60.0,655.99,3.2786133592691655,,4.834925758553905
nifty_strangle_v1,NIFTY,5minute,data/underlying_5m.csv,data/options_5m.csv,50,50,delta_target,09:20,15:20,60,20,300,0.15,-0.25,1,40,4000,1500,5,40,sweep_tradebook_00572.csv,False,nifty_strangle_v1,ok,25,20844.0,23344.0,-5200.0,76.0,833.76,3.044230863531604,,4.768461538461538
nifty_strangle_v1,NIFTY,5minute,data/underlying_5m.csv,data/options_5m.csv,50,50,delta_target,09:45,15:20,60,20,300,0.15,-0.25,1,40,2000,1500,5,40,sweep_tradebook_00874.csv,False,nifty_strangle_v1,ok,25,13364.000000000011,15864.000000000011,-3299.9999999999964,68.0,534.5600000000004,1.9298312750043494,,4.7296969696969775
nifty_strangle_v1,NIFTY,5minute,data/underlying_5m.csv,data/options_5m.csv,50,50,delta_target,09:20,15:20,60,20,300,0.15,-0.15,1,40,4000,3500,5,40,sweep_tradebook_00020.csv,False,nifty_strangle_v1,ok,25,25786.999999999993,28286.999999999993,-7245.500000000004,72.0,1031.4799999999998,2.9304536607276535,,4.2790366434338525
nifty_strangle_v1,NIFTY,5minute,data/underlying_5m.csv,data/options_5m.csv,50,50,delta_target,10:00,15:20,60,20,300,0.2,-0.2,1,50,4000,2500,5,40,sweep_tradebook_00849.csv,False,nifty_strangle_v1,ok,26,18902.500000000007,21502.500000000007,-5313.75,65.38461538461539,727.0192307692311,2.4902926973489707,,4.211126793695603
nifty_strangle_v1,NIFTY,5minute,data/underlying_5m.csv,data/options_5m.csv,50,50,delta_target,09:30,15:20,60,20,300,0.15,-0.15,1,30,2000,3500,5,40,sweep_tradebook_00419.csv,False,nifty_strangle_v1,ok,25,18184.000000000007,20684.000000000007,-5133.75,60.0,727.3600000000002,2.4581320289477375,,4.142050158266375
