trade_date,entry_time,expiry,method,ce_strike,pe_strike,ce_entry,pe_entry,ce_exit,pe_exit,ce_exit_reason,pe_exit_reason,gross_pnl_rupees,costs_rupees,net_pnl_rupees,max_intraday_drawdown_rupees,combined_exit_reason
2026-02-01,2026-02-01 09:20:00+05:30,2026-03-30,delta_target,60000.0,59800.0,1343.3,1006.45,1222.2,1062.45,COMBINED_TGT,COMBINED_TGT,1952.9999999999973,120.0,1832.9999999999973,-3678.000000000004,COMBINED_TGT
2026-02-02,2026-02-02 09:20:00+05:30,2026-03-30,delta_target,59000.0,59500.0,1349.95,1391.0,1150.0,1536.0,COMBINED_TGT,COMBINED_TGT,1648.5000000000014,120.0,1528.5000000000014,-2275.499999999997,COMBINED_TGT
2026-02-03,2026-02-03 09:20:00+05:30,2026-03-30,delta_target,60500.0,61000.0,1250.0,1388.9,1227.0,1360.0,COMBINED_TGT,COMBINED_TGT,1557.0000000000027,120.0,1437.0000000000027,-4075.4999999999973,COMBINED_TGT
2026-02-04,2026-02-04 09:20:00+05:30,2026-03-30,delta_target,60500.0,60300.0,1199.4,975.3,1222.9,896.9,COMBINED_TGT,COMBINED_TGT,1646.9999999999993,120.0,1526.9999999999993,0.0,COMBINED_TGT
2026-02-05,2026-02-05 09:20:00+05:30,2026-03-30,delta_target,60500.0,61000.0,1155.55,1225.0,1136.25,1179.0,COMBINED_TGT,COMBINED_TGT,1958.9999999999986,120.0,1838.9999999999986,-28.500000000001364,COMBINED_TGT
2026-02-06,2026-02-06 09:20:00+05:30,2026-03-30,delta_target,60700.0,60300.0,970.35,896.0,894.7,919.5,COMBINED_TGT,COMBINED_TGT,1564.4999999999993,120.0,1444.4999999999993,0.0,COMBINED_TGT
2026-02-09,2026-02-09 09:20:00+05:30,2026-03-30,delta_target,61300.0,61400.0,825.25,1154.05,823.9,1118.1,EOD,EOD,1119.000000000002,120.0,999.000000000002,-746.9999999999993,EOD
2026-02-10,2026-02-10 09:20:00+05:30,2026-03-30,delta_target,60900.0,60800.0,1053.9,809.25,1015.65,793.9,COMBINED_TGT,COMBINED_TGT,1608.000000000004,120.0,1488.000000000004,-285.0,COMBINED_TGT
2026-02-11,2026-02-11 09:20:00+05:30,2026-03-30,delta_target,60900.0,60700.0,995.0,751.3,937.35,753.65,COMBINED_TGT,COMBINED_TGT,1658.9999999999986,120.0,1538.9999999999986,0.0,COMBINED_TGT
2026-02-12,2026-02-12 09:20:00+05:30,2026-03-30,delta_target,60800.0,60700.0,1075.2,737.0,1072.6,713.1,EOD,EOD,795.0000000000034,120.0,675.0000000000034,-1596.0000000000014,EOD
2026-02-13,2026-02-13 09:20:00+05:30,2026-03-30,delta_target,60800.0,60600.0,1010.0,735.0,850.0,931.85,EOD,EOD,-1105.5000000000007,120.0,-1225.5000000000007,-1170.0,EOD
2026-02-16,2026-02-16 09:20:00+05:30,2026-03-30,delta_target,60900.0,60400.0,811.1,814.5,929.0,645.2,COMBINED_TGT,COMBINED_TGT,1541.9999999999993,120.0,1421.9999999999993,-1341.0000000000016,COMBINED_TGT
2026-02-17,2026-02-17 09:20:00+05:30,2026-03-30,delta_target,61200.0,60700.0,841.4,783.0,1044.35,613.45,EOD,EOD,-1001.9999999999993,120.0,-1121.9999999999993,-2659.5000000000027,EOD
2026-02-18,2026-02-18 09:20:00+05:30,2026-03-30,delta_target,61200.0,61100.0,1018.0,735.65,1270.15,638.55,COMBINED_SL,COMBINED_SL,-4651.500000000002,120.0,-4771.500000000002,-4651.500000000002,COMBINED_SL
2026-02-19,2026-02-19 09:20:00+05:30,2026-03-30,delta_target,61600.0,62100.0,990.0,1031.95,918.55,1050.5,COMBINED_TGT,COMBINED_TGT,1587.0000000000027,120.0,1467.0000000000027,-1320.0,COMBINED_TGT
2026-02-20,2026-02-20 09:20:00+05:30,2026-03-30,delta_target,61500.0,61000.0,781.2,759.45,936.15,654.9,EOD,EOD,-1511.999999999996,120.0,-1631.999999999996,-3850.499999999997,EOD
2026-02-23,2026-02-23 09:20:00+05:30,2026-03-30,delta_target,61600.0,62100.0,988.45,1060.4,864.1,1131.0,COMBINED_TGT,COMBINED_TGT,1612.5000000000034,120.0,1492.5000000000034,-2192.9999999999936,COMBINED_TGT
2026-02-24,2026-02-24 09:20:00+05:30,2026-03-30,delta_target,61800.0,61900.0,737.45,1050.0,685.65,1050.3,COMBINED_TGT,COMBINED_TGT,1545.0000000000034,120.0,1425.0000000000034,-2286.000000000002,COMBINED_TGT
2026-02-25,2026-02-25 09:20:00+05:30,2026-03-30,delta_target,61800.0,61300.0,762.0,723.8,730.55,703.95,COMBINED_TGT,COMBINED_TGT,1538.9999999999986,120.0,1418.9999999999986,0.0,COMBINED_TGT
2026-02-26,2026-02-26 09:20:00+05:30,2026-03-30,delta_target,61200.0,61100.0,974.2,685.9,975.0,661.7,EOD,EOD,701.9999999999993,120.0,581.9999999999993,-272.99999999999727,EOD
2026-02-27,2026-02-27 09:20:00+05:30,2026-03-30,delta_target,61500.0,61000.0,712.6,696.5,542.2,899.2,EOD,EOD,-969.000000000002,120.0,-1089.000000000002,-1339.5,EOD
