label,report,trades,net_pnl,gross_pnl,max_drawdown,win_rate,profit_factor
top3_aggressive,final_top3_0920_015_4000_2500_sl50.csv,27,27321.25,30021.25,-4457.499999999996,70.37037037037037,2.9001130139963496
top2_high_wr,final_top2_0920_015_2000_1500.csv,27,21515.749999999996,24215.75,-3233.000000000002,74.07407407407408,2.303352919796462
top1_balanced,final_top1_1000_020_4000_3500.csv,27,18289.25,20989.25,-5733.75,62.96296296296296,2.131935633606684
top4_mid,final_top4_1000_020_4000_2500.csv,27,17101.75,19801.75,-5733.75,62.96296296296296,2.0584403527773474
top5_tight_sl,final_top5_1000_020_3000_2500.csv,27,17011.749999999996,19711.749999999996,-5681.250000000004,62.96296296296296,2.0470380058470528
