trade_date,entry_time,expiry,method,ce_strike,pe_strike,ce_entry,pe_entry,ce_exit,pe_exit,ce_exit_reason,pe_exit_reason,gross_pnl_rupees,costs_rupees,net_pnl_rupees,max_intraday_drawdown_rupees,combined_exit_reason
2026-02-05,2026-02-05 09:20:00+05:30,2026-03-02,delta_target,25750.0,25750.0,321.8,276.9,293.35,288.4,EOD,EOD,847.4999999999994,100.0,747.4999999999994,-607.5000000000017,EOD
2026-02-06,2026-02-06 09:20:00+05:30,2026-03-02,delta_target,26000.0,25650.0,157.7,264.55,169.5,221.15,EOD,EOD,1579.9999999999998,100.0,1479.9999999999998,-487.5000000000001,EOD
2026-02-09,2026-02-09 09:20:00+05:30,2026-03-02,delta_target,25900.0,25900.0,281.15,248.0,284.05,236.5,EOD,EOD,429.9999999999983,100.0,329.9999999999983,-167.50000000000114,EOD
2026-02-10,2026-02-10 09:20:00+05:30,2026-03-02,delta_target,26300.0,25950.0,124.05,224.8,118.0,213.95,EOD,EOD,845.000000000001,100.0,745.000000000001,0.0,EOD
2026-02-11,2026-02-11 09:20:00+05:30,2026-03-02,delta_target,26050.0,26050.0,252.05,210.65,219.8,238.5,EOD,EOD,220.00000000000028,100.0,120.00000000000028,-527.4999999999991,EOD
2026-02-12,2026-02-12 09:20:00+05:30,2026-03-02,delta_target,25900.0,25900.0,251.05,206.3,222.0,224.9,EOD,EOD,522.5000000000009,100.0,422.5000000000009,-119.99999999999886,EOD
2026-02-13,2026-02-13 09:20:00+05:30,2026-03-02,delta_target,26000.0,26000.0,108.0,403.7,90.3,502.0,COMBINED_SL,COMBINED_SL,-4030.0000000000005,100.0,-4130.0,-4030.000000000001,COMBINED_SL
2026-02-16,2026-02-16 09:20:00+05:30,2026-03-02,delta_target,25850.0,25850.0,117.3,399.0,170.05,295.55,COMBINED_TGT,COMBINED_TGT,2534.9999999999986,100.0,2434.9999999999986,-1214.9999999999998,COMBINED_TGT
2026-02-17,2026-02-17 09:20:00+05:30,2026-03-02,delta_target,25600.0,25600.0,245.0,212.35,320.7,146.25,EOD,EOD,-479.9999999999997,100.0,-579.9999999999998,-1489.9999999999995,EOD
2026-02-18,2026-02-18 09:20:00+05:30,2026-03-02,delta_target,26050.0,26050.0,80.65,364.9,108.85,295.5,EOD,EOD,2059.9999999999995,100.0,1959.9999999999995,-1637.5000000000016,EOD
2026-02-19,2026-02-19 09:20:00+05:30,2026-03-02,delta_target,25850.0,25850.0,201.05,164.5,75.2,246.75,EOD,LEG_SL,2180.0000000000005,100.0,2080.0000000000005,-2080.0,EOD
2026-02-20,2026-02-20 09:20:00+05:30,2026-03-02,delta_target,25450.0,25450.0,223.2,192.95,334.79999999999995,142.6,LEG_SL,EOD,-3062.4999999999986,100.0,-3162.4999999999986,-3819.9999999999986,EOD
2026-02-23,2026-02-23 09:20:00+05:30,2026-03-02,delta_target,26050.0,26050.0,82.05,354.4,63.1,373.55,EOD,EOD,-10.000000000001918,100.0,-110.00000000000192,-3160.000000000001,EOD
2026-02-24,2026-02-24 09:20:00+05:30,2026-03-02,delta_target,25550.0,25550.0,205.65,167.95,141.8,251.92499999999998,EOD,LEG_SL,-1006.25,100.0,-1106.25,-1228.7499999999995,EOD
2026-02-25,2026-02-25 09:20:00+05:30,2026-03-02,delta_target,25900.0,25900.0,46.25,329.7,52.75,272.4,COMBINED_TGT,COMBINED_TGT,2540.0000000000005,100.0,2440.0000000000005,-227.50000000000125,COMBINED_TGT
2026-02-26,2026-02-26 09:20:00+05:30,2026-03-02,delta_target,25800.0,25800.0,37.65,312.0,46.15,253.4,COMBINED_TGT,COMBINED_TGT,2504.9999999999995,100.0,2404.9999999999995,0.0,COMBINED_TGT
2026-02-27,2026-02-27 09:20:00+05:30,2026-03-02,delta_target,25350.0,25350.0,137.55,89.3,50.8,133.95,EOD,LEG_SL,2105.000000000001,100.0,2005.000000000001,-607.4999999999989,EOD
