datetime,open,high,low,close,volume
2026-01-16 09:15:00+05:30,60549.8,60600.0,60549.8,60600.0,180
2026-01-16 09:20:00+05:30,60600.0,60635.8,60580.0,60590.0,1140
2026-01-16 09:25:00+05:30,60590.0,60627.4,60590.0,60627.4,120
2026-01-16 09:30:00+05:30,60627.4,60627.4,60608.0,60608.0,60
2026-01-16 09:35:00+05:30,60608.0,60645.0,60608.0,60627.4,270
2026-01-16 09:40:00+05:30,60627.4,60680.0,60626.8,60680.0,660
2026-01-16 09:45:00+05:30,60680.0,60751.8,60680.0,60747.6,1380
2026-01-16 09:50:00+05:30,60747.6,60830.0,60747.6,60824.4,1740
2026-01-16 09:55:00+05:30,60824.4,60824.4,60780.0,60797.0,720
2026-01-16 10:00:00+05:30,60797.0,60817.8,60780.0,60810.0,660
2026-01-16 10:05:00+05:30,60810.0,60810.0,60773.6,60799.8,1530
2026-01-16 10:10:00+05:30,60799.8,60848.8,60799.8,60840.2,1200
2026-01-16 10:15:00+05:30,60840.2,60882.4,60840.2,60882.4,780
2026-01-16 10:20:00+05:30,60882.4,60900.0,60880.2,60900.0,1050
2026-01-16 10:25:00+05:30,60900.0,60964.8,60894.2,60964.8,1740
2026-01-16 10:30:00+05:30,60964.8,60974.8,60924.6,60940.0,870
2026-01-16 10:35:00+05:30,60940.0,60952.4,60925.4,60952.4,1080
2026-01-16 10:40:00+05:30,60952.4,60952.4,60853.0,60853.0,180
2026-01-16 10:45:00+05:30,60853.0,60913.0,60853.0,60905.0,270
2026-01-16 10:50:00+05:30,60905.0,60917.0,60897.2,60917.0,300
2026-01-16 10:55:00+05:30,60917.0,60918.0,60887.2,60887.2,150
2026-01-16 11:00:00+05:30,60887.2,60887.2,60887.2,60887.2,90
2026-01-16 11:05:00+05:30,60887.2,60887.2,60870.0,60870.0,120
2026-01-16 11:10:00+05:30,60870.0,60870.0,60820.2,60824.8,300
2026-01-16 11:15:00+05:30,60824.8,60846.4,60824.8,60846.4,30
2026-01-16 11:20:00+05:30,60846.4,60855.0,60845.0,60845.0,90
2026-01-16 11:25:00+05:30,60845.0,60880.0,60845.0,60880.0,60
2026-01-16 11:30:00+05:30,60880.0,60930.0,60876.0,60878.2,960
2026-01-16 11:35:00+05:30,60878.2,60878.2,60851.4,60851.4,420
2026-01-16 11:40:00+05:30,60851.4,60851.4,60850.8,60850.8,0
2026-01-16 11:45:00+05:30,60850.8,60850.8,60847.0,60847.0,30
2026-01-16 11:50:00+05:30,60847.0,60875.0,60847.0,60862.6,90
2026-01-16 11:55:00+05:30,60862.6,60862.6,60838.6,60838.6,210
2026-01-16 12:00:00+05:30,60838.6,60867.4,60838.6,60861.4,180
2026-01-16 12:05:00+05:30,60861.4,60900.0,60861.4,60900.0,90
