datetime,open,high,low,close,volume
2025-12-31 09:15:00+05:30,26428.7,26487.8,26397.9,26482.6,9555
2025-12-31 09:20:00+05:30,26482.6,26485.3,26474.0,26478.0,8060
2025-12-31 09:25:00+05:30,26478.0,26495.1,26453.0,26491.3,7410
2025-12-31 09:30:00+05:30,26491.3,26495.9,26478.0,26478.0,1820
2025-12-31 09:35:00+05:30,26478.0,26484.4,26465.7,26483.4,2600
2025-12-31 09:40:00+05:30,26483.4,26483.4,26452.0,26454.9,3185
2025-12-31 09:45:00+05:30,26454.9,26465.0,26449.9,26460.7,5265
2025-12-31 09:50:00+05:30,26460.7,26470.4,26460.7,26469.0,2860
2025-12-31 09:55:00+05:30,26469.0,26470.0,26462.0,26470.0,910
2025-12-31 10:00:00+05:30,26470.0,26475.0,26456.0,26460.0,3120
2025-12-31 10:05:00+05:30,26460.0,26476.5,26455.0,26472.4,3250
2025-12-31 10:10:00+05:30,26472.4,26480.0,26469.9,26480.0,4290
2025-12-31 10:15:00+05:30,26480.0,26488.5,26479.7,26488.0,1820
2025-12-31 10:20:00+05:30,26488.0,26490.0,26485.1,26490.0,1625
2025-12-31 10:25:00+05:30,26490.0,26495.0,26484.8,26492.0,1625
2025-12-31 10:30:00+05:30,26492.0,26514.4,26492.0,26514.3,4030
2025-12-31 10:35:00+05:30,26514.3,26515.3,26503.3,26505.9,2275
2025-12-31 10:40:00+05:30,26505.9,26530.0,26505.9,26528.9,2600
2025-12-31 10:45:00+05:30,26528.9,26530.0,26519.0,26520.0,2080
2025-12-31 10:50:00+05:30,26520.0,26530.0,26519.0,26529.5,1300
2025-12-31 10:55:00+05:30,26529.5,26530.0,26522.9,26528.0,3315
2025-12-31 11:00:00+05:30,26528.0,26530.0,26522.8,26527.1,3575
2025-12-31 11:05:00+05:30,26527.1,26528.0,26520.9,26527.9,1560
2025-12-31 11:10:00+05:30,26527.9,26530.0,26522.0,26530.0,3185
2025-12-31 11:15:00+05:30,26530.0,26532.0,26527.7,26527.7,1300
2025-12-31 11:20:00+05:30,26527.7,26530.0,26520.2,26524.3,2535
2025-12-31 11:25:00+05:30,26524.3,26525.9,26521.4,26522.5,845
2025-12-31 11:30:00+05:30,26522.5,26525.0,26516.3,26525.0,1235
2025-12-31 11:35:00+05:30,26525.0,26535.0,26525.0,26533.5,845
2025-12-31 11:40:00+05:30,26533.5,26545.3,26533.5,26540.0,715
2025-12-31 11:45:00+05:30,26540.0,26543.0,26540.0,26540.0,520
2025-12-31 11:50:00+05:30,26540.0,26545.0,26540.0,26545.0,260
2025-12-31 11:55:00+05:30,26545.0,26545.0,26538.7,26538.7,585
2025-12-31 12:00:00+05:30,26538.7,26549.7,26538.7,26544.1,455
2025-12-31 12:05:00+05:30,26544.1,26557.0,26543.0,26553.3,3965
2025-12-31 12:10:00+05:30,26553.3,26565.8,26550.0,26556.0,1170
2025-12-31 12:15:00+05:30,26556.0,26564.9,26553.1,26563.6,1495
2025-12-31 12:20:00+05:30,26563.6,26570.0,26557.0,26570.0,1950
2025-12-31 12:25:00+05:30,26570.0,26570.0,26559.2,26561.2,715
2025-12-31 12:30:00+05:30,26561.2,26573.0,26560.0,26573.0,1300
2025-12-31 12:35:00+05:30,26573.0,26573.0,26570.0,26572.0,585
2025-12-31 12:40:00+05:30,26572.0,26580.9,26569.8,26580.9,3900
2025-12-31 12:45:00+05:30,26580.9,26600.9,26580.0,26600.9,4225
2025-12-31 12:50:00+05:30,26600.9,26614.0,26600.9,26614.0,2990
2025-12-31 12:55:00+05:30,26614.0,26624.9,26611.8,26620.0,3250
2025-12-31 13:00:00+05:30,26620.0,26624.9,26614.1,26614.1,2535
2025-12-31 13:05:00+05:30,26614.1,26620.8,26607.4,26619.7,2600
2025-12-31 13:10:00+05:30,26619.7,26625.4,26619.7,26625.4,3510
2025-12-31 13:15:00+05:30,26625.4,26626.0,26613.1,26613.1,1170
2025-12-31 13:20:00+05:30,26613.1,26627.3,26613.1,26619.2,2795
2025-12-31 13:25:00+05:30,26619.2,26630.0,26619.2,26624.6,1040
2025-12-31 13:30:00+05:30,26624.6,26630.0,26614.5,26614.5,585
2025-12-31 13:35:00+05:30,26614.5,26615.0,26605.5,26610.0,1040
2025-12-31 13:40:00+05:30,26610.0,26620.7,26610.0,26620.0,780
2025-12-31 13:45:00+05:30,26620.0,26629.9,26620.0,26625.0,715
2025-12-31 13:50:00+05:30,26625.0,26630.0,26622.1,26628.5,1950
2025-12-31 13:55:00+05:30,26628.5,26641.0,26627.0,26638.5,3640
2025-12-31 14:00:00+05:30,26638.5,26638.5,26625.0,26627.9,975
2025-12-31 14:05:00+05:30,26627.9,26635.5,26627.9,26635.5,780
2025-12-31 14:10:00+05:30,26635.5,26635.5,26630.0,26630.2,325
2025-12-31 14:15:00+05:30,26630.2,26630.2,26620.8,26627.0,520
2025-12-31 14:20:00+05:30,26627.0,26627.8,26616.7,26621.9,1625
2025-12-31 14:25:00+05:30,26621.9,26626.0,26620.4,26625.0,1495
2025-12-31 14:30:00+05:30,26625.0,26625.0,26621.0,26621.1,195
2025-12-31 14:35:00+05:30,26621.1,26625.0,26621.1,26625.0,2080
2025-12-31 14:40:00+05:30,26625.0,26634.9,26625.0,26634.9,2860
2025-12-31 14:45:00+05:30,26634.9,26634.9,26627.0,26627.0,715
2025-12-31 14:50:00+05:30,26627.0,26632.0,26622.7,26622.7,455
2025-12-31 14:55:00+05:30,26622.7,26630.0,26622.7,26630.0,715
2025-12-31 15:00:00+05:30,26630.0,26630.0,26615.0,26615.0,1625
2025-12-31 15:05:00+05:30,26615.0,26622.7,26612.2,26620.0,1040
2025-12-31 15:10:00+05:30,26620.0,26623.2,26604.4,26605.9,2275
2025-12-31 15:15:00+05:30,26605.9,26622.9,26605.9,26617.1,2015
2025-12-31 15:20:00+05:30,26617.1,26620.3,26613.2,26617.9,1950
2025-12-31 15:25:00+05:30,26617.9,26622.6,26615.0,26622.0,1040
2026-01-01 09:15:00+05:30,26635.0,26654.5,26625.0,26636.8,4485
2026-01-01 09:20:00+05:30,26636.8,26636.8,26620.0,26621.5,975
2026-01-01 09:25:00+05:30,26621.5,26624.8,26611.6,26622.0,1625
2026-01-01 09:30:00+05:30,26622.0,26642.0,26622.0,26625.3,390
2026-01-01 09:35:00+05:30,26625.3,26635.3,26620.0,26623.9,455
2026-01-01 09:40:00+05:30,26623.9,26640.0,26623.9,26640.0,715
2026-01-01 09:45:00+05:30,26640.0,26640.0,26627.4,26639.8,910
2026-01-01 09:50:00+05:30,26639.8,26648.7,26638.0,26642.0,1430
2026-01-01 09:55:00+05:30,26642.0,26642.0,26615.2,26616.1,715
2026-01-01 10:00:00+05:30,26616.1,26623.0,26616.1,26623.0,65
2026-01-01 10:05:00+05:30,26623.0,26625.0,26617.0,26618.0,1300
2026-01-01 10:10:00+05:30,26618.0,26618.0,26610.0,26610.0,1560
2026-01-01 10:15:00+05:30,26610.0,26610.0,26596.0,26596.0,2860
2026-01-01 10:20:00+05:30,26596.0,26604.9,26594.2,26604.9,715
2026-01-01 10:25:00+05:30,26604.9,26614.0,26604.9,26614.0,260
2026-01-01 10:30:00+05:30,26614.0,26627.0,26614.0,26627.0,455
2026-01-01 10:35:00+05:30,26627.0,26635.9,26622.0,26622.0,1170
2026-01-01 10:40:00+05:30,26622.0,26622.0,26618.1,26620.0,455
2026-01-01 10:45:00+05:30,26620.0,26640.8,26620.0,26632.0,1495
2026-01-01 10:50:00+05:30,26632.0,26635.0,26632.0,26635.0,325
2026-01-01 10:55:00+05:30,26635.0,26638.0,26635.0,26638.0,260
2026-01-01 11:00:00+05:30,26638.0,26642.0,26628.2,26642.0,845
2026-01-01 11:05:00+05:30,26642.0,26642.0,26627.5,26627.5,130
2026-01-01 11:10:00+05:30,26627.5,26634.6,26624.7,26634.6,195
2026-01-01 11:15:00+05:30,26634.6,26634.6,26633.6,26634.6,260
2026-01-01 11:20:00+05:30,26634.6,26642.9,26631.7,26631.7,260
2026-01-01 11:25:00+05:30,26631.7,26642.9,26631.7,26632.0,195
2026-01-01 11:30:00+05:30,26632.0,26632.0,26630.0,26630.0,325
2026-01-01 11:35:00+05:30,26630.0,26630.0,26622.1,26630.0,325
2026-01-01 11:40:00+05:30,26630.0,26630.0,26615.0,26615.0,390
2026-01-01 11:45:00+05:30,26615.0,26615.0,26610.0,26615.0,195
2026-01-01 11:50:00+05:30,26615.0,26615.0,26615.0,26615.0,65
